time_s,t_rel_s,V_measured,V_estimated,error_V,rmse_V,Current(A),cycle,step,pulse_no
15126.771,13.947000000000116,3.229856,3.235972258079623,0.006116258079623016,0.008510439859065364,-74.998924,1,19,4
15127.769,14.944999999999709,3.228774,3.235212303038882,0.006438303038882154,0.008510439859065364,-74.998965,1,19,4
15128.77,15.945999999999913,3.227717,3.2345021915264045,0.006785191526404333,0.008510439859065364,-74.998917,1,19,4
15129.77,16.945999999999913,3.226722,3.233836023975737,0.007114023975737016,0.008510439859065364,-74.998932,1,19,4
15130.769,17.94499999999971,3.225781,3.233207117471247,0.007426117471247107,0.008510439859065364,-74.998921,1,19,4
15131.77,18.945999999999913,3.224878,3.2326087407518553,0.007730740751855425,0.008510439859065364,-74.998996,1,19,4
15132.792,19.967999999998938,3.22403,3.2320267981868125,0.007996798186812537,0.008510439859065364,-74.998986,1,19,4
15133.793,20.96899999999914,3.223214,3.2314823230160608,0.00826832301606073,0.008510439859065364,-74.99895,1,19,4
15134.793,21.96899999999914,3.222434,3.230961380226758,0.00852738022675803,0.008510439859065364,-74.998973,1,19,4
15135.794,22.969999999999345,3.221691,3.230461174324775,0.008770174324775226,0.008510439859065364,-74.998952,1,19,4
15136.792,23.967999999998938,3.220981,3.229982220444184,0.009001220444183833,0.008510439859065364,-74.998999,1,19,4
15137.793,24.96899999999914,3.220306,3.2295204531671997,0.009214453167199821,0.008510439859065364,-74.998941,1,19,4
15138.765,25.940999999998894,3.219655,3.229088956247459,0.009433956247459019,0.008510439859065364,-74.999045,1,19,4
15139.767,26.9429999999993,3.219052,3.2286607025235825,0.00960870252358248,0.008510439859065364,-74.998964,1,19,4
15140.766,27.941999999999098,3.218461,3.228249696541348,0.009788696541348063,0.008510439859065364,-74.999041,1,19,4
15141.765,28.940999999998894,3.21791,3.227853930986966,0.009943930986965999,0.008510439859065364,-74.999017,1,19,4
15142.765,29.940999999998894,3.217382,3.227472391134238,0.01009039113423782,0.008510439859065364,-74.999037,1,19,4
18793.51,0.0,3.27944,3.2794400000000032,3.1086244689504383e-15,0.00801014620259581,-74.995064,1,24,5
18794.512,1.0020000000004075,3.249904,3.2683820572389877,0.018478057238987766,0.00801014620259581,-74.998125,1,24,5
18795.513,2.003000000000611,3.246324,3.2601850456978707,0.013861045697870722,0.00801014620259581,-74.998254,1,24,5
18796.55,3.040000000000873,3.243714,3.25385598251523,0.010141982515229575,0.00801014620259581,-74.998622,1,24,5
18797.55,4.040000000000873,3.2414,3.24925567143819,0.007855671438190104,0.00801014620259581,-74.99871,1,24,5
18798.55,5.040000000000873,3.239353,3.2457211499302447,0.006368149930244815,0.00801014620259581,-74.998802,1,24,5
18799.548,6.038000000000466,3.237517,3.242966622363199,0.005449622363199236,0.00801014620259581,-74.998785,1,24,5
18800.55,7.040000000000873,3.235832,3.2407679061635655,0.004935906163565651,0.00801014620259581,-74.998823,1,24,5
18801.55,8.040000000000873,3.234276,3.2389886372170347,0.004712637217034743,0.00801014620259581,-74.998834,1,24,5
18802.551,9.041000000001077,3.232831,3.237513592119276,0.00468259211927613,0.00801014620259581,-74.998919,1,24,5
18803.553,10.043000000001484,3.231473,3.236264666820297,0.004791666820297191,0.00801014620259581,-74.998931,1,24,5
18804.55,11.040000000000873,3.230201,3.235191312710863,0.00499031271086281,0.00801014620259581,-74.998837,1,24,5
18805.55,12.040000000000873,3.228994,3.23424331671964,0.005249316719639907,0.00801014620259581,-74.998933,1,24,5
18806.551,13.041000000001077,3.227853,3.2333934621842286,0.005540462184228545,0.00801014620259581,-74.998904,1,24,5
18807.55,14.040000000000873,3.226783,3.2326224491545017,0.005839449154501519,0.00801014620259581,-74.998929,1,24,5
18808.806,15.296000000002095,3.225768,3.2317385191345003,0.005970519134500307,0.00801014620259581,-74.999037,1,24,5
18809.805,16.29500000000189,3.224798,3.2310897274884898,0.00629172748848994,0.00801014620259581,-74.998911,1,24,5
18810.805,17.29500000000189,3.223885,3.230479661671376,0.006594661671375679,0.00801014620259581,-74.998922,1,24,5
18811.806,18.296000000002095,3.223017,3.229902532986543,0.0068855329865429304,0.00801014620259581,-74.998938,1,24,5
18812.806,19.296000000002095,3.222192,3.229355060555851,0.007163060555850809,0.00801014620259581,-74.998986,1,24,5
18813.806,20.296000000002095,3.221412,3.228833285153757,0.007421285153756951,0.00801014620259581,-74.999007,1,24,5
18814.811,21.301000000003114,3.22066,3.2283321724438396,0.007672172443839553,0.00801014620259581,-74.998955,1,24,5
18815.813,22.302999999999884,3.21995,3.227853732165017,0.007903732165017274,0.00801014620259581,-74.998968,1,24,5
18816.81,23.30000000000291,3.219268,3.2273970470470927,0.008129047047092719,0.00801014620259581,-74.998988,1,24,5
18817.811,24.301000000003114,3.218612,3.226956643544173,0.008344643544173191,0.00801014620259581,-74.998996,1,24,5
18818.813,25.302999999999884,3.218001,3.2265328735044747,0.008531873504474596,0.00801014620259581,-74.998954,1,24,5
18819.812,26.302000000003318,3.217416,3.2261264422243725,0.00871044222437245,0.00801014620259581,-74.999092,1,24,5
18820.774,27.264000000002852,3.216852,3.225749472781194,0.008897472781194349,0.00801014620259581,-74.999051,1,24,5
18821.775,28.265000000003056,3.216309,3.2253715320215086,0.009062532021508751,0.00801014620259581,-74.998979,1,24,5
18822.774,29.264000000002852,3.215786,3.2250082607175345,0.009222260717534514,0.00801014620259581,-74.999054,1,24,5
18823.775,30.265000000003056,3.215311,3.2246576139076284,0.009346613907628587,0.00801014620259581,-74.999004,1,24,5
22473.772,0.0,3.280651,3.280651000000004,3.9968028886505635e-15,0.00788634732376734,-74.994931,1,29,6
22474.774,1.0020000000004075,3.250591,3.2694391345520954,0.01884813455209544,0.00788634732376734,-74.99813,1,29,6
22475.772,2.0,3.247199,3.261192407022534,0.013993407022534043,0.00788634732376734,-74.998829,1,29,6
22476.772,3.0,3.244678,3.2550327056949224,0.010354705694922473,0.00788634732376734,-74.998662,1,29,6
22477.77,3.9979999999995925,3.242439,3.2503988406289217,0.007959840628921633,0.00788634732376734,-74.998758,1,29,6
22478.771,4.998999999999796,3.240487,3.2468477853751776,0.006360785375177702,0.00788634732376734,-74.998802,1,29,6
22479.771,5.998999999999796,3.238719,3.24409424786106,0.0053752478610600285,0.00788634732376734,-74.998782,1,29,6
22480.77,6.9979999999995925,3.237098,3.241918935632481,0.004820935632480872,0.00788634732376734,-74.998792,1,29,6
22481.774,8.002000000000407,3.23559,3.2401553396108773,0.004565339610877128,0.00788634732376734,-74.998892,1,29,6
22482.788,9.015999999999622,3.23419,3.2386891238745013,0.004499123874501354,0.00788634732376734,-74.998885,1,29,6
22483.789,10.016999999999825,3.232888,3.2374706811736034,0.004582681173603387,0.00788634732376734,-74.998887,1,29,6
22484.786,11.013999999999214,3.231658,3.236425554073537,0.004767554073537017,0.00788634732376734,-74.998863,1,29,6
22485.786,12.013999999999214,3.230509,3.2355047076695382,0.004995707669538163,0.00788634732376734,-74.998916,1,29,6
22486.789,13.016999999999825,3.229411,3.2346791634602527,0.005268163460252939,0.00788634732376734,-74.998907,1,29,6
22487.788,14.015999999999622,3.228386,3.2339328042963196,0.005546804296319596,0.00788634732376734,-74.998958,1,29,6
22488.781,15.008999999998196,3.227415,3.2332504034293064,0.0058354034293062185,0.00788634732376734,-74.998937,1,29,6
22489.781,16.008999999998196,3.226483,3.2326116654224157,0.006128665422415747,0.00788634732376734,-74.998937,1,29,6
22490.78,17.007999999997992,3.225611,3.232013708286262,0.006402708286262104,0.00788634732376734,-74.998983,1,29,6
22491.781,18.008999999998196,3.22477,3.2314485280801737,0.006678528080173773,0.00788634732376734,-74.998934,1,29,6
