file,cycle,step,step_name,t_pre,t_post,t_fast,t_end,V_pre,V_post,V_fast,V_end,I_step,R0,R1,R2,C1,C2,duration_pre_post,duration_post_fast,duration_fast_end,cell,pulse_no,soc_pct,cell_id,rmse_V
RD_LFP_HPPC_REPT_Group0_150_0011_10_100,1,34,CC_DChg,26094.04,26094.07,26097.071,26124.01,3.327916,3.287328,3.261882,3.236181,-74.9978452,-0.0005411888820507,-0.0003392897480206,-0.0003426898457077,-8844.947474857132,-78610.44129966562,0.0299999999988358,3.001000000000204,26.938999999998487,RD_LFP_HPPC_REPT_Group0_150_0011_10_100,7,70,Group0_150_0011_10_100,0.006352399580292397
RD_LFP_HPPC_REPT_Group0_150_0011_10_100,1,39,CC_DChg,29774.371,29774.398,29777.395,29804.335,3.327707,3.321443,3.260791,3.23488,-74.9979792,-8.3522250423519e-05,-0.0008087151233536,-0.0003454893088639,-3705.87851451486,-77976.36369294443,0.0270000000018626,2.996999999999389,26.93999999999869,RD_LFP_HPPC_REPT_Group0_150_0011_10_100,8,80,Group0_150_0011_10_100,0.011282781671180476
RD_LFP_HPPC_REPT_Group0_150_0011_10_100,1,44,CC_DChg,33478.188,33478.216,33480.247,33508.201,3.327133,3.282201,3.263128,3.235374,-74.9980108,-0.0005991092233075,-0.0002543134117365,-0.0003700631483948,-7986.208773396943,-75538.45910150088,0.0279999999984283,2.0310000000026776,27.953999999997905,RD_LFP_HPPC_REPT_Group0_150_0011_10_100,9,90,Group0_150_0011_10_100,0.00676003944964191
RD_LFP_HPPC_REPT_Group0_150_0025_10_100,1,4,CC_DChg,4031.022,4031.057,4034.054,4061.023,3.487105,3.434406,3.365639,3.280569,-74.9971808,-0.0007026797465965,-0.000916927800038,-0.0011343093045972,-3268.523432134913,-23775.70199829792,0.0349999999998544,2.9970000000002983,26.96900000000005,RD_LFP_HPPC_REPT_Group0_150_0025_10_100,1,10,Group0_150_0025_10_100,0.020657833146587787
RD_LFP_HPPC_REPT_Group0_150_0025_10_100,1,9,CC_DChg,7714.279,7714.317,7717.32,7744.284,3.393686,3.343986,3.309286,3.256539,-74.99772920000001,-0.0006626867310537,-0.0004626806754037,-0.0007033146278247,-6490.437486673716,-38338.46038919355,0.0379999999995561,3.0029999999997017,26.963999999999945,RD_LFP_HPPC_REPT_Group0_150_0025_10_100,2,20,Group0_150_0025_10_100,0.01080564422687709
RD_LFP_HPPC_REPT_Group0_150_0025_10_100,1,14,CC_DChg,11394.642,11394.684,11397.685,11424.672,3.355424,3.313968,3.279066,3.241259,-74.9979246,-0.0005527619626957,-0.0004653728777982,-0.00050410728299,-6448.592393691305,-53534.23945777973,0.0419999999994615,3.001000000000204,26.98700000000099,RD_LFP_HPPC_REPT_Group0_150_0025_10_100,3,30,Group0_150_0025_10_100,0.008790756487089144
RD_LFP_HPPC_REPT_Group0_150_0025_10_100,1,19,CC_DChg,15074.485,15074.52,15077.521,15104.482,3.336844,3.298883,3.26322,3.233687,-74.99795800000001,-0.0005061604477284,-0.0004755196134806,-0.0003937840547605,-6310.990997897409,-68466.45940601913,0.0349999999998544,3.001000000000204,26.96099999999933,RD_LFP_HPPC_REPT_Group0_150_0025_10_100,4,40,Group0_150_0025_10_100,0.007995139836206462
RD_LFP_HPPC_REPT_Group0_150_0025_10_100,1,24,CC_DChg,18755.205,18755.243,18757.243,18785.49,3.330328,3.27471,3.25938,3.230219,-74.99768939999998,-0.0007415961804284,-0.0002044062973492,-0.0003888253122635,-9784.434363992412,-72647.01939172219,0.0379999999968276,2.0,28.247000000003027,RD_LFP_HPPC_REPT_Group0_150_0025_10_100,5,50,Group0_150_0025_10_100,0.007070974803245681
RD_LFP_HPPC_REPT_Group0_150_0025_10_100,1,29,CC_DChg,22435.461,22435.492,22437.462,22465.455,3.328403,3.272837,3.259029,3.231142,-74.9981056,-0.0007408987141136,-0.000184111317073,-0.0003718360587497,-10700.048380075816,-75283.17746838968,0.0309999999990395,1.970000000001164,27.99300000000221,RD_LFP_HPPC_REPT_Group0_150_0025_10_100,6,60,Group0_150_0025_10_100,0.0067030069177863
RD_LFP_HPPC_REPT_Group0_150_0025_10_100,1,34,CC_DChg,26115.663,26115.691,26118.678,26145.9,3.327807,3.285433,3.255762,3.230163,-74.9979716,-0.0005650019473326,-0.0003956240331171,-0.0003413292313628,-7550.097440911131,-79752.9115549569,0.0279999999984283,2.987000000000989,27.22200000000157,RD_LFP_HPPC_REPT_Group0_150_0025_10_100,7,70,Group0_150_0025_10_100,0.00681416800196703
